FIPS_ADMIN,GMI_ADMIN,ADMIN_NAME,Population,Annual_Exports_2020,Gov_Party,X,Y
MX01,MEX-AGS,Aguascalientes,1425607,11440332,PAN,4,6
MX02,MEX-BCN,Baja California,3769020,40123762,MORENA,1,8
MX03,MEX-BCS,Baja California Sur,798447,214779,PAN,1,7
MX04,MEX-CMP,Campeche,928363,10264200,PRI,10,3
MX05,MEX-CHP,Chiapas,5543828,664929,MORENA,9,1
MX06,MEX-CHH,Chihuahua,3741869,54580731,PAN,3,8
MX07,MEX-CDZ,Coahuila,3146771,44906529,PRI,4,8
MX08,MEX-COL,Colima,731391,743306,PRI,4,4
MX09,MEX-DTD,Distrito Federal,9209944,2121114,MORENA,7,3
MX10,MEX-DRN,Durango,1832650,2628116,PAN,3,7
MX11,MEX-GNJ,Guanajuato,6166934,23714326,PAN,5,5
MX12,MEX-GRR,Guerrero,16992418,962593,PRI,7,1
MX13,MEX-HDL,Hidalgo,3082841,1276527,PRI,7,5
MX14,MEX-JLS,Jalisco,8348151,19973607,MC,4,5
MX15,MEX-MEX,Mexico,3540685,13999233,PRI,6,4
MX16,MEX-MDO,Michoacan,4748846,5732299,PRD,5,4
MX17,MEX-MRL,Morelos,1971520,2643133,PES,6,3
MX18,MEX-NYR,Nayarit,1235456,213316,PAN,3,6
MX19,MEX-NLE,Nuevo Leon,5784442,34438505,Independent,5,7
MX20,MEX-OAX,Oaxaca,4132148,528764,PRI,8,1
MX21,MEX-PUE,Puebla,6583278,13468004,MORENA,7,2
MX22,MEX-QDA,Queretaro,2368467,11725202,PAN,6,5
MX23,MEX-QRO,Quintana Roo,1857985,13403,PRD,11,3
MX24,MEX-SLP,San Luis Potosi,2822255,13666940,PRI,5,6
MX25,MEX-SIN,Sinaloa,3026943,2726986,PRI,2,7
MX26,MEX-SON,Sonora,2944840,17226780,PRI,2,8
MX27,MEX-TBS,Tabasco,2402598,4056398,MORENA,9,2
MX28,MEX-TML,Tamaulipas,3527735,26584498,PAN,6,6
MX29,MEX-TLX,Tlaxcala,1342977,1448273,PRI,7,4
MX30,MEX-VLL,Veracruz,8062579,5216206,MORENA,8,2
MX31,MEX-YCT,Yucatan,2320898,822446,PAN,11,4
MX32,MEX-ZCT,Zacatecas,1622138,3649535,PRI,4,7
